"secc","media","emc_media","cv_media","fgt0","emc_fgt0","cv_fgt0","fgt1","emc_fgt1","cv_fgt1","gini","emc_gini","cv_gini","cuota_quintil","emc_quintil","cv_quintil"
"1",26819.6415762114,2583301.91885665,0.0593751989544794,0.00202286719437115,3.44593504330627e-05,2.90192492011182,0.000314895264594825,1.96077669374185e-06,4.44680349496114,0.342845560452413,3.71912411527772e-05,0.0177877823113269,5.88016552736213,0.0426380580002403,0.0351163328088625
"10",21400.9180384471,26848.3145362134,0.00756801871870042,0.00529660898882666,3.02040197392196e-06,0.328121327157803,0.000909002890802853,2.28448517323546e-07,0.525810080060809,0.34608916638241,5.13519847571684e-06,0.00654772772935098,5.99948449786967,0.00497209403347153,0.0117531893054778
"11",9016.68842448205,50288.3709008913,0.0241996576720864,0.10939174924869,8.99911243423484e-06,0.027423019462879,0.0266481233951522,5.04932027588619e-07,0.0266655059648851,0.34796090564445,7.7130360477539e-06,0.00798145791514982,6.05771020330762,0.00864532800683604,0.0153490762821016
"12",19192.5066735871,37643.9791881885,0.00997919491994917,0.00844103828082878,9.86690366796496e-07,0.117677809110922,0.00151459158833519,4.50991620930739e-08,0.140213133802894,0.345125344788278,3.84054844504384e-06,0.00567831878307052,5.96498748770146,0.00301765785626306,0.00920927542624466
"13",8499.3811781192,173393.2292161,0.0475925231546644,0.127753957590981,7.01953275730305e-07,0.00655812574947746,0.0319921811916787,2.39184880621576e-07,0.0152870262367232,0.348445525398324,6.33954490789518e-06,0.00722593664481914,6.0759830721309,0.0109825443690438,0.0172478484679287
"14",19632.1192397126,602353.676910049,0.0390358022072122,0.00763151239251391,4.30298144135555e-05,0.859555894128767,0.00135532695956073,5.35709130030486e-06,1.70773487203767,0.345218544852745,6.041472959019e-06,0.00711995584574452,5.96633126058612,0.00636377379956571,0.013370572544196
"15",23775.8596181109,32195.2503625261,0.00746821768152393,0.00304693038423366,2.29751357573813e-05,1.57313687593532,0.000503888858157373,2.38097580623909e-06,3.06226475398823,0.342898572167476,1.99863085546119e-06,0.00412287926680502,5.89080597404619,0.00228519468019104,0.00811496934553362
"16",9314.73237807661,169134.439880984,0.0429974996680546,0.10126159554731,2.58150574982339e-06,0.0158668889504889,0.0244513851005909,2.10055817246031e-07,0.0187440697192457,0.348520438302197,3.97694433096792e-06,0.00572198222505405,6.07829674605261,0.00447310086707392,0.0110032871548175
"17",8389.01330735328,42906.1235197857,0.0239770360562315,0.132264645875838,2.7620767349507e-06,0.0125653357162911,0.0333227985130137,2.3131794274611e-07,0.0144332187366971,0.348940509726205,5.44163525925659e-06,0.00668518335471944,6.08794333587452,0.00406151866107444,0.010468238891699
"18",33958.5033221245,11124.1548299898,0.00308318396713502,0.000511614974343419,6.99304553273856e-07,1.63451883991063,7.52266403238952e-05,3.05008393491968e-08,2.3215830754505,0.343964536315779,3.51440981986209e-07,0.00172350494556236,5.92819366392726,0.000915543030078435,0.00510407441436648
