"secc","media_h","emc_media_h","cv_media_h","fgt0_h","emc_fgt0_h","cv_fgt0_h","fgt1_h","emc_fgt1_h","cv_fgt1_h","gini_h","emc_gini_h","cv_gini_h","cuota_quintil_h","emc_quintil_h","cv_quintil_h","media_m","emc_media_m","cv_media_m","fgt0_m","emc_fgt0_m","cv_fgt0_m","fgt1_m","emc_fgt1_m","cv_fgt1_m","gini_m","emc_gini_m","cv_gini_m","cuota_quintil_m","emc_quintil_m","cv_quintil_m","d_media","d_fgt0","d_fgt1","d_gini","d_quintil"
"1",26819.6415762114,2583301.91885665,0.0593751989544794,0.00202286719437115,3.44593504330627e-05,2.90192492011182,0.000314895264594825,1.96077669374185e-06,4.44680349496114,0.342845560452413,3.71912411527772e-05,0.0177877823113269,5.88016552736213,0.0426380580002403,0.0351163328088625,22722.6562573545,1685917.56713516,0.0568921018432523,0.00323254139668826,3.18777435170197e-06,0.552331345595921,0.000534434802769431,5.87142165138712e-07,1.43376146273962,0.342496093643785,6.88250665986576e-06,0.00765980471733971,5.88872761826483,0.00797985419064481,0.015169665741687,4096.98531885693,-0.00120967420231711,-0.000219539538174606,0.000349466808627574,-0.00856209090270266
"10",21400.9180384471,26848.3145362134,0.00756801871870042,0.00529660898882666,3.02040197392196e-06,0.328121327157803,0.000909002890802853,2.28448517323546e-07,0.525810080060809,0.34608916638241,5.13519847571684e-06,0.00654772772935098,5.99948449786967,0.00497209403347153,0.0117531893054778,20895.3605060194,14353.2571913181,0.00570626448425435,0.00471892934424687,3.67599850573096e-06,0.406297535784872,0.000793697412426857,2.85048495489487e-07,0.672673644260042,0.345928566095452,3.01867727021234e-06,0.00502252278525904,5.98166179882843,0.00306709949501365,0.00925853084391232,505.557532427672,0.000577679644579788,0.000115305478375996,0.000160600286957802,0.0178226990412362
"11",9016.68842448205,50288.3709008913,0.0241996576720864,0.10939174924869,8.99911243423484e-06,0.027423019462879,0.0266481233951522,5.04932027588619e-07,0.0266655059648851,0.34796090564445,7.7130360477539e-06,0.00798145791514982,6.05771020330762,0.00864532800683604,0.0153490762821016,8746.58252807002,24512.5912753581,0.0176977916744176,0.108873723262951,4.55437477036084e-06,0.0196015902866793,0.0262860355361972,3.83664818170723e-07,0.0235641021949582,0.348239206365494,5.29486955175254e-06,0.00660769468986445,6.04342005200895,0.00396538176248936,0.0104198081119269,270.105896412035,0.000518025985739287,0.000362087858954963,-0.000278300721043734,0.014290151298666
"12",19192.5066735871,37643.9791881885,0.00997919491994917,0.00844103828082878,9.86690366796496e-07,0.117677809110922,0.00151459158833519,4.50991620930739e-08,0.140213133802894,0.345125344788278,3.84054844504384e-06,0.00567831878307052,5.96498748770146,0.00301765785626306,0.00920927542624466,18587.1582736894,32981.3476971196,0.00971831417894246,0.00790142276422764,1.69801289315532e-06,0.164916911349355,0.00140374089706814,5.17251837297326e-08,0.162018298896264,0.345305903056545,9.4341908690078e-07,0.00281286135523201,5.96547292186214,0.000669534503582784,0.00433752112194374,605.348399897648,0.000539615516601134,0.000110850691267051,-0.000180558268266851,-0.000485434160674814
"13",8499.3811781192,173393.2292161,0.0475925231546644,0.127753957590981,7.01953275730305e-07,0.00655812574947746,0.0319921811916787,2.39184880621576e-07,0.0152870262367232,0.348445525398324,6.33954490789518e-06,0.00722593664481914,6.0759830721309,0.0109825443690438,0.0172478484679287,8587.96937595136,125897.089659096,0.0408403602154241,0.114678043727169,4.22696042778698e-06,0.017928081393901,0.0278345319645073,4.18252527361063e-07,0.0232346087578672,0.34843340827867,5.14050090598314e-06,0.00650703182665312,6.04873358294491,0.00547243962102191,0.0122299880560651,-88.5881978321595,0.0130759138638122,0.00415764922717132,1.21171196545977e-05,0.0272494891859862
"14",19632.1192397126,602353.676910049,0.0390358022072122,0.00763151239251391,4.30298144135555e-05,0.859555894128767,0.00135532695956073,5.35709130030486e-06,1.70773487203767,0.345218544852745,6.041472959019e-06,0.00711995584574452,5.96633126058612,0.00636377379956571,0.013370572544196,19844.3420190887,125558.380277228,0.0177665515015838,0.00598601106587326,5.54815940902147e-06,0.3934929447815,0.00102453577313045,4.02114779691717e-07,0.618939059859144,0.34549073064357,2.1591446081032e-06,0.00425308894361073,5.9735207812464,0.00189174539698771,0.00728116652999704,-212.222779376112,0.00164550132664065,0.000330791186430277,-0.000272185790825274,-0.00718952066027523
"15",23775.8596181109,32195.2503625261,0.00746821768152393,0.00304693038423366,2.29751357573813e-05,1.57313687593532,0.000503888858157373,2.38097580623909e-06,3.06226475398823,0.342898572167476,1.99863085546119e-06,0.00412287926680502,5.89080597404619,0.00228519468019104,0.00811496934553362,23971.3875508814,158382.641481986,0.016533038070413,0.00235194298320041,9.31246954278476e-07,0.410303898563747,0.000385338622896116,6.68549258383641e-08,0.671002540867147,0.343269739722184,1.52820086747843e-05,0.0113881898932174,5.896831728856,0.0169493857572783,0.0220779246624084,-195.527932770463,0.000694987401033252,0.000118550235261257,-0.000371167554708063,-0.00602575480981571
"16",9314.73237807661,169134.439880984,0.0429974996680546,0.10126159554731,2.58150574982339e-06,0.0158668889504889,0.0244513851005909,2.10055817246031e-07,0.0187440697192457,0.348520438302197,3.97694433096792e-06,0.00572198222505405,6.07829674605261,0.00447310086707392,0.0110032871548175,8620.84591076746,53833.7959615109,0.0266053446419728,0.113862188766647,4.62348228634156e-06,0.0188844817567687,0.0276439105442983,2.91113960295099e-07,0.0195178527540272,0.348240066868061,7.27550419749975e-06,0.00774555978181061,6.04902225173885,0.00824426313010386,0.0150103472797483,693.886467309145,-0.0126005932193375,-0.00319252544370732,0.00028037143413584,0.0292744943137588
"17",8389.01330735328,42906.1235197857,0.0239770360562315,0.132264645875838,2.7620767349507e-06,0.0125653357162911,0.0333227985130137,2.3131794274611e-07,0.0144332187366971,0.348940509726205,5.44163525925659e-06,0.00668518335471944,6.08794333587452,0.00406151866107444,0.010468238891699,8136.7512187976,45086.81584734,0.0257791642641052,0.131616961394347,2.35428143898035e-06,0.0116578195650045,0.0328006814411943,1.08015327531496e-07,0.0100198178614522,0.348485054314029,2.04107482335668e-06,0.00409963607308218,6.05147056726023,0.00262978349409794,0.0084742070765366,252.262088555673,0.000647684481490607,0.000522117071819463,0.000455455412175565,0.0364727686142929
"18",33958.5033221245,11124.1548299898,0.00308318396713502,0.000511614974343419,6.99304553273856e-07,1.63451883991063,7.52266403238952e-05,3.05008393491968e-08,2.3215830754505,0.343964536315779,3.51440981986209e-07,0.00172350494556236,5.92819366392726,0.000915543030078435,0.00510407441436648,33545.6709018082,92649.991451028,0.00904676895728324,0.000410084033613445,3.47629679349866e-07,1.43775724029414,5.95260609945386e-05,1.65532301834045e-08,2.16139544604314,0.344067661511976,2.3745131566297e-06,0.00447861194809332,5.92277309673774,0.00311429401630579,0.00942225189821854,412.832420316328,0.000101530940729974,1.57005793293567e-05,-0.000103125196196818,0.00542056718952377
