"secc","media","emc_media","cv_media","fgt0","emc_fgt0","cv_fgt0","fgt1","emc_fgt1","cv_fgt1","gini","emc_gini","cv_gini","cuota_quintil","emc_quintil","cv_quintil"
"1",22722.6562573545,1685917.56713516,0.0568921018432523,0.00323254139668826,3.18777435170197e-06,0.552331345595921,0.000534434802769431,5.87142165138712e-07,1.43376146273962,0.342496093643785,6.88250665986576e-06,0.00765980471733971,5.88872761826483,0.00797985419064481,0.015169665741687
"10",20895.3605060194,14353.2571913181,0.00570626448425435,0.00471892934424687,3.67599850573096e-06,0.406297535784872,0.000793697412426857,2.85048495489487e-07,0.672673644260042,0.345928566095452,3.01867727021234e-06,0.00502252278525904,5.98166179882843,0.00306709949501365,0.00925853084391232
"11",8746.58252807002,24512.5912753581,0.0176977916744176,0.108873723262951,4.55437477036084e-06,0.0196015902866793,0.0262860355361972,3.83664818170723e-07,0.0235641021949582,0.348239206365494,5.29486955175254e-06,0.00660769468986445,6.04342005200895,0.00396538176248936,0.0104198081119269
"12",18587.1582736894,32981.3476971196,0.00971831417894246,0.00790142276422764,1.69801289315532e-06,0.164916911349355,0.00140374089706814,5.17251837297326e-08,0.162018298896264,0.345305903056545,9.4341908690078e-07,0.00281286135523201,5.96547292186214,0.000669534503582784,0.00433752112194374
"13",8587.96937595136,125897.089659096,0.0408403602154241,0.114678043727169,4.22696042778698e-06,0.017928081393901,0.0278345319645073,4.18252527361063e-07,0.0232346087578672,0.34843340827867,5.14050090598314e-06,0.00650703182665312,6.04873358294491,0.00547243962102191,0.0122299880560651
"14",19844.3420190887,125558.380277228,0.0177665515015838,0.00598601106587326,5.54815940902147e-06,0.3934929447815,0.00102453577313045,4.02114779691717e-07,0.618939059859144,0.34549073064357,2.1591446081032e-06,0.00425308894361073,5.9735207812464,0.00189174539698771,0.00728116652999704
"15",23971.3875508814,158382.641481986,0.016533038070413,0.00235194298320041,9.31246954278476e-07,0.410303898563747,0.000385338622896116,6.68549258383641e-08,0.671002540867147,0.343269739722184,1.52820086747843e-05,0.0113881898932174,5.896831728856,0.0169493857572783,0.0220779246624084
"16",8620.84591076746,53833.7959615109,0.0266053446419728,0.113862188766647,4.62348228634156e-06,0.0188844817567687,0.0276439105442983,2.91113960295099e-07,0.0195178527540272,0.348240066868061,7.27550419749975e-06,0.00774555978181061,6.04902225173885,0.00824426313010386,0.0150103472797483
"17",8136.7512187976,45086.81584734,0.0257791642641052,0.131616961394347,2.35428143898035e-06,0.0116578195650045,0.0328006814411943,1.08015327531496e-07,0.0100198178614522,0.348485054314029,2.04107482335668e-06,0.00409963607308218,6.05147056726023,0.00262978349409794,0.0084742070765366
"18",33545.6709018082,92649.991451028,0.00904676895728324,0.000410084033613445,3.47629679349866e-07,1.43775724029414,5.95260609945386e-05,1.65532301834045e-08,2.16139544604314,0.344067661511976,2.3745131566297e-06,0.00447861194809332,5.92277309673774,0.00311429401630579,0.00942225189821854
"19",15388.2200322531,55938.5860801408,0.0152705342929272,0.0171815157116451,2.39833307115938e-05,0.285031773105403,0.00329467699501119,2.61620434567831e-06,0.490933861370726,0.344687519638003,1.76127588737214e-05,0.0121755373104118,5.95153007116412,0.0190532488980654,0.0231929444667248
"2",15852.0372420062,5485836.58902709,0.146826781337193,0.016588785046729,1.16826524150581e-05,0.206042185645133,0.00320683510743717,4.81257991219157e-07,0.216327806912732,0.346035760421301,0.000125039516264757,0.0323148883668065,5.98682406841087,0.0924027562235393,0.0507745364184663
"20",12250.0723276236,307353.091832087,0.0448899676175635,0.0399096264020011,4.199114785764e-06,0.0513453609164541,0.00832027657134806,3.01178534276284e-07,0.0659590276770887,0.347260430236085,3.74314359084637e-06,0.00557138210251994,6.02450291539935,0.00338133863370748,0.00965212892943882
"21",11284.3917319327,66515.9811525883,0.0226544315675239,0.0521949800531915,6.48541499457785e-05,0.154290842222312,0.0113080182702318,7.8556204248736e-06,0.247858458184796,0.348003953990165,3.5983380024465e-06,0.00545088223561455,6.0475850424099,0.00352554380619963,0.00981818188856281
"22",13449.9200856699,74116.8976444084,0.020091940454978,0.028486027591086,1.06254547556666e-05,0.114430520288127,0.00571423169714969,4.36796207695358e-07,0.11565957274515,0.34650432539347,2.95654849616672e-06,0.00496230944866452,6.0021814474744,0.00351434257078492,0.00987672419900214
"23",23791.6718020679,608245.516750212,0.0326432144409947,0.00245266657031363,9.01597890282076e-07,0.387139898344824,0.00039427744682636,1.4252310792771e-08,0.302789427286701,0.343769210838675,4.28105056489628e-06,0.00601877629118052,5.90788779992251,0.00280722374631209,0.00896822045952364
"24",26827.0861780569,70426.1696120857,0.00985547757042062,0.001421803528643,5.17807005087611e-07,0.506109364373556,0.000222527081761213,2.05717607162547e-08,0.64454442967055,0.344261315801734,3.98059197926667e-06,0.00579542923769998,5.93100128013135,0.00278844895284128,0.0089033476456843
"3",15945.7978198854,931596.17451216,0.0601523408230802,0.0150117279124316,5.59997579226832e-05,0.498496818135254,0.00280607458551724,2.32478251499994e-06,0.543365368211635,0.342616822357331,4.28723922725582e-05,0.0191108575807315,5.89741096056163,0.0348517706048062,0.0316556350791159
"4",24228.6121855985,457663.365051074,0.0278071025960921,0.00224723700368399,6.23180902807507e-05,3.51283855373346,0.000393089539006323,3.48950379303315e-06,4.75215230219115,0.342245263752278,1.67092307180514e-05,0.0119437521096037,5.86781037900719,0.0104442019491516,0.0174165270811161
"5",22656.5131500881,444018.79067366,0.0292816103008112,0.00312375382161372,9.65704877500128e-05,3.14590361163937,0.000507990505136886,1.07783909968162e-05,6.46280975827584,0.343850435499212,2.06823839646365e-05,0.0132260670335247,5.91705253356023,0.0233983462353397,0.0258515838664259
"6",25951.4831043427,546314.57169285,0.0283719339165947,0.0016,8.06139590987279e-05,5.61157979297636,0.000244660270242987,5.51801230664117e-06,9.60125228029794,0.342420675191775,5.64830973461935e-06,0.0069406360666718,5.86367503734697,0.0015891051428875,0.00679839544443645
