"parametro","estimacion"
"(Intercept)1",9.58710665921046
"(Intercept)2",9.39377056113659
"(Intercept)3",8.57388565037547
"(Intercept)4",9.27557200103469
"(Intercept)5",8.52591045387019
"(Intercept)6",9.3005369589337
"(Intercept)7",9.48518978708809
"(Intercept)8",8.61292940038272
"(Intercept)9",8.51875318426739
"(Intercept)10",9.83998739679832
"(Intercept)11",9.08280502134401
"(Intercept)12",9.08096596057181
"(Intercept)13",8.83987674081954
"(Intercept)14",8.78124079499815
"(Intercept)15",8.91060684314995
"(Intercept)16",9.46342395987297
"(Intercept)17",9.5942120386762
"(Intercept)18",9.06750291179692
"(Intercept)19",9.48732392055001
"(Intercept)20",9.38471774308013
"(Intercept)21",9.63367785305043
"(Intercept)22",9.30716620787938
"(Intercept)23",9.20811646958856
"(Intercept)24",8.71330187083475
"(Intercept)25",8.6235314268222
"condacto1",0.304309484157584
"condacto2",0.304309484157584
"condacto3",0.304309484157584
"condacto4",0.304309484157584
"condacto5",0.304309484157584
"condacto6",0.304309484157584
"condacto7",0.304309484157584
"condacto8",0.304309484157584
"condacto9",0.304309484157584
"condacto10",0.304309484157584
"condacto11",0.304309484157584
"condacto12",0.304309484157584
"condacto13",0.304309484157584
"condacto14",0.304309484157584
"condacto15",0.304309484157584
"condacto16",0.304309484157584
"condacto17",0.304309484157584
"condacto18",0.304309484157584
"condacto19",0.304309484157584
"condacto20",0.304309484157584
"condacto21",0.304309484157584
"condacto22",0.304309484157584
"condacto23",0.304309484157584
"condacto24",0.304309484157584
"condacto25",0.304309484157584
"condactc1",-0.000349144880473694
"condactc2",-0.000349144880473694
"condactc3",-0.000349144880473694
"condactc4",-0.000349144880473694
"condactc5",-0.000349144880473694
"condactc6",-0.000349144880473694
"condactc7",-0.000349144880473694
"condactc8",-0.000349144880473694
"condactc9",-0.000349144880473694
"condactc10",-0.000349144880473694
"condactc11",-0.000349144880473694
"condactc12",-0.000349144880473694
"condactc13",-0.000349144880473694
"condactc14",-0.000349144880473694
"condactc15",-0.000349144880473694
"condactc16",-0.000349144880473694
"condactc17",-0.000349144880473694
"condactc18",-0.000349144880473694
"condactc19",-0.000349144880473694
"condactc20",-0.000349144880473694
"condactc21",-0.000349144880473694
"condactc22",-0.000349144880473694
"condactc23",-0.000349144880473694
"condactc24",-0.000349144880473694
"condactc25",-0.000349144880473694
"condactj1",0.415340946865382
"condactj2",0.415340946865382
"condactj3",0.415340946865382
"condactj4",0.415340946865382
"condactj5",0.415340946865382
"condactj6",0.415340946865382
"condactj7",0.415340946865382
"condactj8",0.415340946865382
"condactj9",0.415340946865382
"condactj10",0.415340946865382
"condactj11",0.415340946865382
"condactj12",0.415340946865382
"condactj13",0.415340946865382
"condactj14",0.415340946865382
"condactj15",0.415340946865382
"condactj16",0.415340946865382
"condactj17",0.415340946865382
"condactj18",0.415340946865382
"condactj19",0.415340946865382
"condactj20",0.415340946865382
"condactj21",0.415340946865382
"condactj22",0.415340946865382
"condactj23",0.415340946865382
"condactj24",0.415340946865382
"condactj25",0.415340946865382
"alfasi1",0.182629862274186
"alfasi2",0.182629862274186
"alfasi3",0.182629862274186
"alfasi4",0.182629862274186
"alfasi5",0.182629862274186
"alfasi6",0.182629862274186
"alfasi7",0.182629862274186
"alfasi8",0.182629862274186
"alfasi9",0.182629862274186
"alfasi10",0.182629862274186
"alfasi11",0.182629862274186
"alfasi12",0.182629862274186
"alfasi13",0.182629862274186
"alfasi14",0.182629862274186
"alfasi15",0.182629862274186
"alfasi16",0.182629862274186
"alfasi17",0.182629862274186
"alfasi18",0.182629862274186
"alfasi19",0.182629862274186
"alfasi20",0.182629862274186
"alfasi21",0.182629862274186
"alfasi22",0.182629862274186
"alfasi23",0.182629862274186
"alfasi24",0.182629862274186
"alfasi25",0.182629862274186
