"parametro","estimacion"
"(Intercept)1",9.42088832323747
"(Intercept)2",9.37067133985099
"(Intercept)3",8.5555486386186
"(Intercept)4",9.23160206547549
"(Intercept)5",8.54578356916091
"(Intercept)6",9.30022105208237
"(Intercept)7",9.4890819201546
"(Intercept)8",8.55675370362271
"(Intercept)9",8.50258399279612
"(Intercept)10",9.82197562380194
"(Intercept)11",9.05176457077657
"(Intercept)12",9.07625473449377
"(Intercept)13",8.84695421841552
"(Intercept)14",8.78074721253899
"(Intercept)15",8.93450893688766
"(Intercept)16",9.47638451964539
"(Intercept)17",9.59580946220576
"(Intercept)18",9.0669479677557
"(Intercept)19",9.47716427700613
"(Intercept)20",9.42424597616426
"(Intercept)21",9.55656703343114
"(Intercept)22",9.31404592773905
"(Intercept)23",9.19798556814797
"(Intercept)24",8.74534501707108
"(Intercept)25",8.59099577738379
"condacto1",0.284140696833621
"condacto2",0.284140696833621
"condacto3",0.284140696833621
"condacto4",0.284140696833621
"condacto5",0.284140696833621
"condacto6",0.284140696833621
"condacto7",0.284140696833621
"condacto8",0.284140696833621
"condacto9",0.284140696833621
"condacto10",0.284140696833621
"condacto11",0.284140696833621
"condacto12",0.284140696833621
"condacto13",0.284140696833621
"condacto14",0.284140696833621
"condacto15",0.284140696833621
"condacto16",0.284140696833621
"condacto17",0.284140696833621
"condacto18",0.284140696833621
"condacto19",0.284140696833621
"condacto20",0.284140696833621
"condacto21",0.284140696833621
"condacto22",0.284140696833621
"condacto23",0.284140696833621
"condacto24",0.284140696833621
"condacto25",0.284140696833621
"condactc1",-0.115245455877043
"condactc2",-0.115245455877043
"condactc3",-0.115245455877043
"condactc4",-0.115245455877043
"condactc5",-0.115245455877043
"condactc6",-0.115245455877043
"condactc7",-0.115245455877043
"condactc8",-0.115245455877043
"condactc9",-0.115245455877043
"condactc10",-0.115245455877043
"condactc11",-0.115245455877043
"condactc12",-0.115245455877043
"condactc13",-0.115245455877043
"condactc14",-0.115245455877043
"condactc15",-0.115245455877043
"condactc16",-0.115245455877043
"condactc17",-0.115245455877043
"condactc18",-0.115245455877043
"condactc19",-0.115245455877043
"condactc20",-0.115245455877043
"condactc21",-0.115245455877043
"condactc22",-0.115245455877043
"condactc23",-0.115245455877043
"condactc24",-0.115245455877043
"condactc25",-0.115245455877043
"condactj1",0.459242408400981
"condactj2",0.459242408400981
"condactj3",0.459242408400981
"condactj4",0.459242408400981
"condactj5",0.459242408400981
"condactj6",0.459242408400981
"condactj7",0.459242408400981
"condactj8",0.459242408400981
"condactj9",0.459242408400981
"condactj10",0.459242408400981
"condactj11",0.459242408400981
"condactj12",0.459242408400981
"condactj13",0.459242408400981
"condactj14",0.459242408400981
"condactj15",0.459242408400981
"condactj16",0.459242408400981
"condactj17",0.459242408400981
"condactj18",0.459242408400981
"condactj19",0.459242408400981
"condactj20",0.459242408400981
"condactj21",0.459242408400981
"condactj22",0.459242408400981
"condactj23",0.459242408400981
"condactj24",0.459242408400981
"condactj25",0.459242408400981
"alfasi1",0.18243689790317
"alfasi2",0.18243689790317
"alfasi3",0.18243689790317
"alfasi4",0.18243689790317
"alfasi5",0.18243689790317
"alfasi6",0.18243689790317
"alfasi7",0.18243689790317
"alfasi8",0.18243689790317
"alfasi9",0.18243689790317
"alfasi10",0.18243689790317
"alfasi11",0.18243689790317
"alfasi12",0.18243689790317
"alfasi13",0.18243689790317
"alfasi14",0.18243689790317
"alfasi15",0.18243689790317
"alfasi16",0.18243689790317
"alfasi17",0.18243689790317
"alfasi18",0.18243689790317
"alfasi19",0.18243689790317
"alfasi20",0.18243689790317
"alfasi21",0.18243689790317
"alfasi22",0.18243689790317
"alfasi23",0.18243689790317
"alfasi24",0.18243689790317
"alfasi25",0.18243689790317
