secc,pobreza_m,pct_m
1,0.011239929964857266,1.1239929964857267
2,0.01625468830380805,1.6254688303808051
3,0.013192689720328806,1.3192689720328805
4,0.010653914259981705,1.0653914259981705
5,0.010991235200575445,1.0991235200575444
6,0.01012498916976056,1.012498916976056
7,0.011198801604493807,1.1198801604493807
8,0.012584202125283975,1.2584202125283974
9,0.017564553224113745,1.7564553224113746
10,0.013181836921668693,1.3181836921668693
11,0.01852953265393621,1.852953265393621
12,0.012680955076746365,1.2680955076746365
13,0.019208150575781378,1.9208150575781378
14,0.012870485043632937,1.2870485043632938
15,0.010883841334506822,1.088384133450682
16,0.01927655848726962,1.927655848726962
17,0.019833905165255968,1.9833905165255967
18,0.010279348589799656,1.0279348589799655
19,0.012957898619096573,1.2957898619096573
20,0.014983638706708187,1.4983638706708187
21,0.016450368718569877,1.6450368718569877
22,0.014441117484322825,1.4441117484322825
23,0.010804841202132444,1.0804841202132442
24,0.0111411193167326,1.11411193167326
99,0.0184882043682543,1.84882043682543
