secc,pobreza_h,pct_h
1,0.01187882826844657,1.187882826844657
2,0.016439339328633003,1.6439339328633003
3,0.013729734834276057,1.3729734834276057
4,0.011648394954992213,1.1648394954992214
5,0.012675799367070658,1.267579936707066
6,0.011240317533147708,1.1240317533147708
7,0.012684190862235776,1.2684190862235776
8,0.014051235369895169,1.405123536989517
9,0.01899037852980117,1.899037852980117
10,0.014549179422875319,1.4549179422875318
11,0.019617320571364772,1.9617320571364771
12,0.014166366146422514,1.4166366146422515
13,0.02022471574686199,2.022471574686199
14,0.014321605899314244,1.4321605899314245
15,0.01216586093315803,1.216586093315803
16,0.020335971675859155,2.0335971675859152
17,0.020846945446695127,2.084694544669513
18,0.011500469572175898,1.1500469572175898
19,0.014286625023809237,1.4286625023809236
20,0.016569079549922625,1.6569079549922625
21,0.017922261485971907,1.7922261485971906
22,0.015968183181216424,1.5968183181216424
23,0.012536913401909032,1.2536913401909033
24,0.012803728709905444,1.2803728709905444
99,0.01999344984034796,1.999344984034796
