secc,pobreza_h,pct_h,pobreza_m,pct_m,dif_pp_menos_h
23,0.012536913401909032,1.2536913401909033,0.010804841202132444,1.0804841202132442,-0.1732072199776591
5,0.012675799367070658,1.267579936707066,0.010991235200575445,1.0991235200575444,-0.1684564166495215
24,0.012803728709905444,1.2803728709905444,0.0111411193167326,1.11411193167326,-0.16626093931728447
20,0.016569079549922625,1.6569079549922625,0.014983638706708187,1.4983638706708187,-0.15854408432144385
22,0.015968183181216424,1.5968183181216424,0.014441117484322825,1.4441117484322825,-0.15270656968935992
99,0.01999344984034796,1.999344984034796,0.0184882043682543,1.84882043682543,-0.15052454720936614
12,0.014166366146422514,1.4166366146422515,0.012680955076746365,1.2680955076746365,-0.14854110696761502
7,0.012684190862235776,1.2684190862235776,0.011198801604493807,1.1198801604493807,-0.14853892577419692
21,0.017922261485971907,1.7922261485971906,0.016450368718569877,1.6450368718569877,-0.147189276740203
8,0.014051235369895169,1.405123536989517,0.012584202125283975,1.2584202125283974,-0.14670332446111956
14,0.014321605899314244,1.4321605899314245,0.012870485043632937,1.2870485043632938,-0.1451120855681307
9,0.01899037852980117,1.899037852980117,0.017564553224113745,1.7564553224113746,-0.14258253056874248
10,0.014549179422875319,1.4549179422875318,0.013181836921668693,1.3181836921668693,-0.13673425012066254
19,0.014286625023809237,1.4286625023809236,0.012957898619096573,1.2957898619096573,-0.13287264047126635
15,0.01216586093315803,1.216586093315803,0.010883841334506822,1.088384133450682,-0.12820195986512095
18,0.011500469572175898,1.1500469572175898,0.010279348589799656,1.0279348589799655,-0.12211209823762426
6,0.011240317533147708,1.1240317533147708,0.01012498916976056,1.012498916976056,-0.11153283633871469
11,0.019617320571364772,1.9617320571364771,0.01852953265393621,1.852953265393621,-0.1087787917428562
16,0.020335971675859155,2.0335971675859152,0.01927655848726962,1.927655848726962,-0.1059413188589533
13,0.02022471574686199,2.022471574686199,0.019208150575781378,1.9208150575781378,-0.10165651710806123
17,0.020846945446695127,2.084694544669513,0.019833905165255968,1.9833905165255967,-0.10130402814391615
4,0.011648394954992213,1.1648394954992214,0.010653914259981705,1.0653914259981705,-0.0994480695010509
1,0.01187882826844657,1.187882826844657,0.011239929964857266,1.1239929964857267,-0.06388983035893037
3,0.013729734834276057,1.3729734834276057,0.013192689720328806,1.3192689720328805,-0.05370451139472521
2,0.016439339328633003,1.6439339328633003,0.01625468830380805,1.6254688303808051,-0.01846510248249511
