sexo,secc,n_ingreso,ingreso_dir,var_ingreso_dir,cv_ingreso_dir,ingreso_fh,mse_ingreso_fh,se_ingreso_fh,cv_ingreso_fh
H,1,74,24836.7123513054,11478551.496155452,13.64110135978633,21682.037760995718,7085216.612189595,2661.8070200879692,12.276553751217751
H,10,2820,24575.726084475045,396689.0802521574,2.5628238977130575,24573.662954010102,387698.0873673374,622.6540671732076,2.5338268386707834
H,11,1882,11079.856952770364,99418.16103816942,2.8457628748719777,11091.858328249167,98863.90867378213,314.4263167640109,2.8347487630924566
H,12,1009,21868.244241012668,638076.5213264588,3.652771170841511,21878.64855611091,614368.4621638899,783.8165998267004,3.5825640592767467
H,13,1712,10897.027128797234,106703.47982516645,2.9976523143167912,10891.520462325188,106252.35399564725,325.96373110462343,2.992821178936065
H,14,641,22605.69614522989,1090803.685871715,4.6201429453240985,22692.002506992674,1016112.731746609,1008.0241722035286,4.4422001623386915
H,15,509,28797.749005083868,2175732.473950601,5.122054613148232,28805.620377460404,1967277.3312884073,1402.59663884112,4.869176988594257
H,16,894,8920.19510099832,130400.99849945429,4.048238633329279,8839.644538003537,129627.97152864597,360.0388472493572,4.0730014165329
H,17,2095,8749.600148211171,58161.78153093315,2.7563263945484406,8762.646474324752,58043.0614708584,240.92127650097325,2.7494122604043385
H,18,1723,38931.887617067434,1332962.254445533,2.9655378045936907,38237.48900374257,1257443.9576040213,1121.3580862525678,2.932614341236718
H,19,417,17855.771326703132,1230524.643207805,6.212502011548998,17936.437040994086,1147847.2766758266,1071.376346890217,5.973183773575348
H,2,65,20460.870099783202,16472932.987691402,19.83633196507598,18839.072755790872,9328148.980511865,3054.2018565431895,16.21206041366537
H,20,1179,13531.482136673321,248104.13139961511,3.68104926243263,13532.38880431539,245270.35669184872,495.2477730306808,3.65972172535236
H,21,1498,11147.79698776597,132574.1758808613,3.2661822691615767,11180.329774781952,131511.98288206922,362.6458091334701,3.243605657781617
H,22,929,15394.10620564755,397876.10617167974,4.097504611791883,15432.823704708762,389584.91173049033,624.1673747725767,4.044414597842745
H,23,392,27941.706376760565,3640071.4960618885,6.828133951719195,28042.470527352423,2994072.991850448,1730.3389817750879,6.170422752472282
H,24,1170,29940.627731712262,1097458.1440703287,3.498912495887635,29745.423734609063,1030248.6242344097,1015.0116374871816,3.412328721699152
H,3,72,14298.886309729502,4973475.399866933,15.596522424084794,16801.306566091822,3911410.876881145,1977.728716705389,11.771279268820766
H,4,147,26634.778579767353,6878201.916560182,9.8466470183947,24551.73233253027,4822101.675483205,2195.92843132084,8.944087535571997
H,5,218,23222.636512632467,3977409.6324698906,8.587932772460368,23046.49138090325,3150949.428391248,1775.0913859267212,7.702219641978105
H,6,141,28783.867165066786,8278641.510113319,9.996095499846243,28744.328766045743,5241304.134499915,2289.389467631035,7.964664912737075
H,7,343,25127.31755924851,2855763.614901124,6.725351684938824,24951.781291093448,2424484.382012862,1557.0755864802652,6.240338388330072
H,8,261,17701.923511276218,2187547.363630195,8.355227365972466,18743.16120059847,1918144.737432913,1384.971024040905,7.38920723787342
H,9,1032,11475.413509739807,190257.67279083421,3.801042679660104,11521.898773347957,188260.06978087034,433.889467238916,3.7657809339774233
H,99,1241,10230.587329482214,130610.90861255115,3.5325568393296694,10237.49215826835,129629.74575469925,360.041311177897,3.5168897383438606
M,1,93,18693.708893577124,5057851.883281596,12.030608055235673,17789.812979658305,3520405.5699384534,1876.2743855679673,10.54690337505732
M,10,3482,22823.334281592695,230630.51264914815,2.104162570591282,22802.180278551416,225728.74138408515,475.10918890722917,2.083612983948446
M,11,2081,10473.077368157314,76660.70403236942,2.643699505911095,10467.254302706653,76139.29479190143,275.93349704575814,2.6361592932198703
M,12,1216,19519.302886442747,419289.7361257353,3.317361594637648,19579.30052339189,402827.6944524128,634.6870838865502,3.2416228717071554
M,13,1844,10741.540739978875,95042.45605679388,2.870068389039547,10744.037355846152,94363.87456045861,307.1870351438332,2.859139678778979
M,14,792,21514.735719878347,790097.2286874716,4.131466670247983,21563.91127900813,733544.5639744719,856.4721618210787,3.97178485266182
M,15,607,25157.707843072916,1369375.392840097,4.651469637049261,24700.682456973936,1239342.5193497068,1113.257615895668,4.5069913263929005
M,16,960,7748.399214165432,84359.98535187598,3.748489161238632,7721.939232225033,83829.99593591309,289.53410150777245,3.7494998704405087
M,17,2278,8167.077078013798,44950.84302502149,2.5959855229778106,8153.915083117663,44831.52055539274,211.73455210567957,2.5967225553288755
M,18,2227,34942.87906205019,746573.5138797192,2.4727351597747202,34490.147229322414,712861.8906510002,844.3114891146514,2.4479787908729045
M,19,504,16244.316669664724,709726.5181150415,5.186138002457513,16470.144494363212,662396.6367719789,813.8775318019161,4.941532432095298
M,2,56,13277.119515077131,4664014.865439889,16.265825106718108,12563.900087680957,4027783.7549506775,2006.9339189297384,15.973813106788068
M,20,1402,12724.700503204205,168612.4711254428,3.2269874571124486,12690.759205159862,166868.7585310697,408.49572645386354,3.218843883569831
M,21,1667,10435.479942728694,99478.79597251322,3.0224062066024464,10441.495362975409,98601.4251015036,314.00863857783213,3.007314830510562
M,22,1073,14104.965532701097,272183.12155210867,3.698780556691659,14194.230722876811,266506.0150529932,516.2422058036259,3.636986152209006
M,23,478,24032.620930180346,2084022.2082684045,6.006894923039069,24036.556996676936,1707513.4150371114,1306.7185676484096,5.436379960029483
M,24,1521,28948.32205866911,822681.4073311684,3.1332312218571547,28579.07724048247,761867.5964188422,872.8502714777845,3.054158341548501
M,3,114,15950.525206948616,3705060.972134445,12.067649614710328,16987.37819037895,2772785.3208097853,1665.1682560059164,9.802385261246545
M,4,172,21964.726733632888,3420289.1428662054,8.419874269067805,21687.228656046605,2571208.8305009305,1603.4989337386323,7.393747533028208
M,5,277,22414.34870855483,2388487.301630475,6.8950170465102,22366.354803085254,1928931.297441119,1388.859711216766,6.209593487380359
M,6,179,23313.566556129932,4128976.0004094085,8.715904467686492,23369.879752392415,2829800.268014611,1682.2010189078508,7.198158641512226
M,7,421,23755.30737088086,1924432.841640489,5.839702539523236,23803.839171759522,1682310.8536008883,1297.0392644792555,5.448865853614241
M,8,312,16154.171661469643,1263151.791849363,6.957337599262206,17112.48621616199,1121910.0562577606,1059.202556765117,6.189647391883634
M,9,1113,11063.688614394427,161639.0062268856,3.633901420566763,11183.122872396601,159527.51283790334,399.40895437872115,3.5715332732736553
M,99,1364,9614.815133012264,101119.90474557297,3.3073289133110357,9618.952254772079,100160.5607723172,316.4815330668082,3.2901871709551096
