sexo,termino,beta,se
H,b1,-545803.257865459,NA
H,b2,-295666.8527118114,NA
H,b3,-911820.8134831848,NA
H,b4,-376193.2486422613,NA
H,b5,870305.328251963,NA
M,b1,-1335117.412285192,NA
M,b2,-92929.46720419278,NA
M,b3,-528414.4535755047,NA
M,b4,-175944.08023239268,NA
M,b5,1475621.1200935051,NA
